'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -175.1268768310547, avg_fit -400.04503840208054, elapsed 6.0044
5: best_fit -1.0225586891174316, avg_fit -45.592273672809824, elapsed 19.4728
10: best_fit -1.0225586891174316, avg_fit -10.593672626884654, elapsed 32.6641
15: best_fit -1.0225586891174316, avg_fit -11.047834449680522, elapsed 45.5774
20: best_fit -0.2746855914592743, avg_fit -13.423348855576478, elapsed 58.1557
25: best_fit -0.2746855914592743, avg_fit -12.11411849129945, elapsed 71.2509
30: best_fit -0.2746855914592743, avg_fit -10.959079661726719, elapsed 84.5442
35: best_fit -0.2746855914592743, avg_fit -10.674058540345868, elapsed 98.1638
40: best_fit -0.2746855914592743, avg_fit -10.971738103195094, elapsed 111.0903
45: best_fit -0.24647223949432373, avg_fit -11.75822019597399, elapsed 127.1125
50: best_fit -0.24647223949432373, avg_fit -8.88390610658098, elapsed 127.1125
