'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -187.42601013183594, avg_fit -506.1859464943409, elapsed 6.6333
5: best_fit -0.4915998876094818, avg_fit -23.9234469437215, elapsed 22.9043
10: best_fit -0.15869441628456116, avg_fit -7.569415555233718, elapsed 39.4062
15: best_fit -0.15869441628456116, avg_fit -5.947922257735627, elapsed 54.5064
20: best_fit -0.11002962291240692, avg_fit -7.158145237190183, elapsed 69.6180
25: best_fit -0.11002962291240692, avg_fit -6.3551283745619, elapsed 86.8218
30: best_fit -0.10513520240783691, avg_fit -8.055797508524847, elapsed 102.6480
35: best_fit -0.10513520240783691, avg_fit -7.601904321985785, elapsed 119.2135
40: best_fit -0.10513520240783691, avg_fit -10.91154688547249, elapsed 134.5395
45: best_fit -0.10513520240783691, avg_fit -6.881915732490597, elapsed 151.7514
50: best_fit -0.10513520240783691, avg_fit -7.140365720551927, elapsed 168.6178
55: best_fit -0.0405733548104763, avg_fit -7.67369662704732, elapsed 185.3175
60: best_fit -0.0405733548104763, avg_fit -7.358439394014567, elapsed 201.1917
65: best_fit -0.0405733548104763, avg_fit -7.301896520239097, elapsed 217.1499
70: best_fit -0.0405733548104763, avg_fit -7.006956329991226, elapsed 232.7330
75: best_fit -0.03955893591046333, avg_fit -4.6787238375109155, elapsed 248.5293
80: best_fit -0.01573582924902439, avg_fit -9.000578931885684, elapsed 265.7412
85: best_fit -0.01573582924902439, avg_fit -6.764927761720173, elapsed 284.3227
90: best_fit -0.01573582924902439, avg_fit -7.292033500134494, elapsed 302.2129
95: best_fit -0.01573582924902439, avg_fit -7.0099191715307825, elapsed 321.2194
100: best_fit -0.01573582924902439, avg_fit -7.24301416297385, elapsed 321.2194
