'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -192.135009765625, avg_fit -406.10068437457085, elapsed 7.2472
5: best_fit -1.3286588191986084, avg_fit -18.262527443934232, elapsed 23.8275
10: best_fit -0.806790292263031, avg_fit -13.936626075068489, elapsed 40.1649
15: best_fit -0.10138481110334396, avg_fit -15.44007189009426, elapsed 56.4474
20: best_fit -0.10138481110334396, avg_fit -12.823248922570201, elapsed 72.7202
25: best_fit -0.10138481110334396, avg_fit -13.81889952293568, elapsed 88.9666
30: best_fit -0.10138481110334396, avg_fit -13.094554371025879, elapsed 105.3875
35: best_fit -0.10138481110334396, avg_fit -12.729963191661227, elapsed 121.7478
40: best_fit -0.10138481110334396, avg_fit -12.84063451687689, elapsed 137.3207
45: best_fit -0.10138481110334396, avg_fit -13.627470991094015, elapsed 151.1278
50: best_fit -0.10138481110334396, avg_fit -12.74185435124673, elapsed 151.1278
