'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -140.8143768310547, avg_fit -459.8257802128792, elapsed 7.1538
5: best_fit -3.7413885593414307, avg_fit -36.53530957759358, elapsed 24.8419
10: best_fit -2.275376319885254, avg_fit -24.59827840817161, elapsed 43.0211
15: best_fit -2.2703120708465576, avg_fit -18.030071921879426, elapsed 60.3251
20: best_fit -2.2703120708465576, avg_fit -17.179094346240163, elapsed 79.0432
25: best_fit -2.2643842697143555, avg_fit -17.9018180295825, elapsed 97.6816
30: best_fit -2.249225378036499, avg_fit -18.01165099791251, elapsed 114.9219
35: best_fit -2.182072162628174, avg_fit -18.530778953572735, elapsed 132.9996
40: best_fit -2.148905038833618, avg_fit -19.496464462019503, elapsed 147.6873
45: best_fit -2.1313834190368652, avg_fit -16.746231394587085, elapsed 160.6874
50: best_fit -2.1313834190368652, avg_fit -18.296287869336084, elapsed 160.6874
