'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -282.5367431640625, avg_fit -495.75945299863815, elapsed 8.1096
5: best_fit -2.9516801834106445, avg_fit -30.848188020288944, elapsed 26.9709
10: best_fit -0.6804533004760742, avg_fit -10.579621761804447, elapsed 45.6239
15: best_fit -0.6804533004760742, avg_fit -8.229834877187386, elapsed 63.2801
20: best_fit -0.36297425627708435, avg_fit -8.861497403180692, elapsed 82.9993
25: best_fit -0.3562486171722412, avg_fit -9.054689136566594, elapsed 102.4823
30: best_fit -0.3238685429096222, avg_fit -10.785659717512317, elapsed 120.8580
35: best_fit -0.3238685429096222, avg_fit -7.323685157025466, elapsed 141.8411
40: best_fit -0.3112049400806427, avg_fit -10.670673306420213, elapsed 160.7841
45: best_fit -0.2817710340023041, avg_fit -6.658818772557424, elapsed 179.2960
50: best_fit -0.2817710340023041, avg_fit -10.822962761449162, elapsed 198.5560
55: best_fit -0.2817710340023041, avg_fit -7.866325405950192, elapsed 216.5249
60: best_fit -0.2817710340023041, avg_fit -8.040815255895723, elapsed 235.5172
65: best_fit -0.17270851135253906, avg_fit -9.178970653825672, elapsed 253.0227
70: best_fit -0.1458359807729721, avg_fit -9.528791327422368, elapsed 270.3980
75: best_fit -0.1458359807729721, avg_fit -8.7204455123574, elapsed 288.3541
80: best_fit -0.1458359807729721, avg_fit -8.020457453385461, elapsed 306.5010
85: best_fit -0.1458359807729721, avg_fit -6.735034455894493, elapsed 323.7692
90: best_fit -0.1458359807729721, avg_fit -7.996083647565683, elapsed 340.3613
95: best_fit -0.1458359807729721, avg_fit -6.968101209873566, elapsed 357.7644
100: best_fit -0.1458359807729721, avg_fit -7.7871620316873305, elapsed 374.3368
105: best_fit -0.1458359807729721, avg_fit -7.995610552767175, elapsed 387.1305
110: best_fit -0.1458359807729721, avg_fit -7.583394805376884, elapsed 401.9996
115: best_fit -0.1458359807729721, avg_fit -6.614386257249862, elapsed 416.8561
120: best_fit -0.1458359807729721, avg_fit -8.525609436925151, elapsed 431.7050
125: best_fit -0.1458359807729721, avg_fit -10.177299053641036, elapsed 446.6169
130: best_fit -0.1458359807729721, avg_fit -9.463558803283377, elapsed 460.6189
135: best_fit -0.1458359807729721, avg_fit -9.682939933351008, elapsed 474.3492
140: best_fit -0.1458359807729721, avg_fit -7.573913633983466, elapsed 487.9727
145: best_fit -0.1458359807729721, avg_fit -7.9763514208752895, elapsed 501.7133
150: best_fit -0.14266057312488556, avg_fit -10.71894577697094, elapsed 514.8766
155: best_fit -0.14266057312488556, avg_fit -8.985937082848977, elapsed 528.9637
160: best_fit -0.14266057312488556, avg_fit -7.184107957276865, elapsed 542.4199
165: best_fit -0.14266057312488556, avg_fit -8.710682795499451, elapsed 555.1928
170: best_fit -0.14266057312488556, avg_fit -10.006343747198116, elapsed 568.1632
175: best_fit -0.14158232510089874, avg_fit -9.16038057510741, elapsed 580.9098
180: best_fit -0.14158232510089874, avg_fit -10.467004545513191, elapsed 593.4215
185: best_fit -0.10422511398792267, avg_fit -9.563125260756351, elapsed 606.2402
190: best_fit -0.10422511398792267, avg_fit -8.494245781446807, elapsed 619.1874
195: best_fit -0.10422511398792267, avg_fit -6.697285755493795, elapsed 632.8111
200: best_fit -0.10422511398792267, avg_fit -11.190322501337505, elapsed 650.6406
