'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -207.24828186035157, avg_fit -503.93878918886145, elapsed 13.9810
5: best_fit -5.041860216856003, avg_fit -23.63642659621546, elapsed 65.3717
10: best_fit -4.976128348708153, avg_fit -9.091980528112453, elapsed 118.2385
15: best_fit -4.976128348708153, avg_fit -11.043938446891598, elapsed 168.0074
20: best_fit -4.911983397603035, avg_fit -11.319552042521694, elapsed 219.2368
25: best_fit -4.911983397603035, avg_fit -10.082405499505736, elapsed 270.1106
30: best_fit -4.904154282808304, avg_fit -11.638299458421725, elapsed 319.6589
35: best_fit -4.904154282808304, avg_fit -11.857622351203597, elapsed 368.7807
40: best_fit -4.904154282808304, avg_fit -9.7720265037933, elapsed 418.4928
45: best_fit -4.904154282808304, avg_fit -9.799155201396271, elapsed 469.4017
50: best_fit -4.904154282808304, avg_fit -9.951880287300465, elapsed 469.4017
