'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -162.44651794433594, avg_fit -504.33762791752815, elapsed 7.4270
5: best_fit -0.22311235964298248, avg_fit -23.859805362546467, elapsed 28.9565
10: best_fit -0.22311235964298248, avg_fit -8.064371127693448, elapsed 47.3010
15: best_fit -0.22311235964298248, avg_fit -6.957167336542625, elapsed 65.8374
20: best_fit -0.1961282342672348, avg_fit -9.274814164600684, elapsed 84.6242
25: best_fit -0.16758793592453003, avg_fit -7.499464994703885, elapsed 103.2898
30: best_fit -0.16758793592453003, avg_fit -6.742477853957098, elapsed 121.3306
35: best_fit -0.16758793592453003, avg_fit -8.324910980445566, elapsed 141.2164
40: best_fit -0.16758793592453003, avg_fit -5.287578646908514, elapsed 158.2769
45: best_fit -0.16758793592453003, avg_fit -7.556549735440058, elapsed 175.1342
50: best_fit -0.16758793592453003, avg_fit -7.744977891154122, elapsed 175.1342
