'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -235.59173583984375, avg_fit -495.43497934937477, elapsed 7.6803
5: best_fit -3.5631186962127686, avg_fit -41.47674996894784, elapsed 26.7449
10: best_fit -2.4371135234832764, avg_fit -9.482661839108914, elapsed 46.3106
15: best_fit -1.2379844188690186, avg_fit -6.933246517088264, elapsed 64.5478
20: best_fit -1.2379844188690186, avg_fit -7.320265182526782, elapsed 83.4031
25: best_fit -1.2379844188690186, avg_fit -6.28932743833866, elapsed 102.3677
30: best_fit -1.2379844188690186, avg_fit -6.820691590895876, elapsed 120.4026
35: best_fit -1.2379844188690186, avg_fit -6.963188837049529, elapsed 140.1119
40: best_fit -1.2379844188690186, avg_fit -5.89447073219344, elapsed 160.0398
45: best_fit -1.0833525657653809, avg_fit -6.313225873047486, elapsed 179.0957
50: best_fit -1.0833525657653809, avg_fit -7.185472909826785, elapsed 198.7159
55: best_fit -0.9090906381607056, avg_fit -7.470373880700208, elapsed 219.2075
