'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -193.4623254776001, avg_fit -441.2806944662704, elapsed 15.4915
5: best_fit -61.973518127202986, avg_fit -66.92718111917425, elapsed 69.2355
10: best_fit -61.960174494981764, avg_fit -67.46531181280803, elapsed 120.4472
15: best_fit -61.960174494981764, avg_fit -65.58168961885465, elapsed 176.1864
20: best_fit -61.960174494981764, avg_fit -63.69286245033242, elapsed 242.6504
25: best_fit -61.960174494981764, avg_fit -65.68235778703898, elapsed 307.7848
30: best_fit -61.960174494981764, avg_fit -65.80315357559671, elapsed 372.1774
35: best_fit -61.960174494981764, avg_fit -64.25181013090862, elapsed 435.7435
40: best_fit -61.960174494981764, avg_fit -66.75904752221028, elapsed 499.8894
45: best_fit -61.960174494981764, avg_fit -65.12840558231198, elapsed 559.1531
50: best_fit -61.960174494981764, avg_fit -65.95188811735206, elapsed 559.1531
