'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -282.5384826660156, avg_fit -507.58890211582184, elapsed 6.2507
5: best_fit -0.05262868478894234, avg_fit -25.028317431886535, elapsed 20.0734
10: best_fit -0.05262868478894234, avg_fit -4.550087625673768, elapsed 33.5193
15: best_fit -0.04660782590508461, avg_fit -9.3308953675878, elapsed 47.7548
20: best_fit -0.03708862140774727, avg_fit -7.867782994599111, elapsed 62.9336
25: best_fit -0.03708862140774727, avg_fit -8.867022731450561, elapsed 75.0474
30: best_fit -0.03708862140774727, avg_fit -7.408725129116647, elapsed 88.4918
35: best_fit -0.03708862140774727, avg_fit -10.384902220361255, elapsed 101.4455
40: best_fit -0.03708862140774727, avg_fit -6.37604655180985, elapsed 115.6765
45: best_fit -0.03708862140774727, avg_fit -6.011914405597054, elapsed 131.2847
50: best_fit -0.03708862140774727, avg_fit -5.910098801876302, elapsed 131.2847
