'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -331.89764404296875, avg_fit -483.85179936885834, elapsed 7.8422
5: best_fit -3.5938050746917725, avg_fit -71.24603163800202, elapsed 24.6667
10: best_fit -3.352966070175171, avg_fit -11.802321368828416, elapsed 42.6591
15: best_fit -3.342313289642334, avg_fit -7.79417353332974, elapsed 60.0995
20: best_fit -3.342313289642334, avg_fit -10.681637255242094, elapsed 76.6167
25: best_fit -3.342313289642334, avg_fit -13.070381934987381, elapsed 94.3482
30: best_fit -3.342313289642334, avg_fit -12.175182014936581, elapsed 111.4004
35: best_fit -3.342313289642334, avg_fit -10.155190235702321, elapsed 128.7531
40: best_fit -3.342313289642334, avg_fit -12.236054096370935, elapsed 144.8381
45: best_fit -3.342313289642334, avg_fit -12.75463397311978, elapsed 160.9453
50: best_fit -3.342313289642334, avg_fit -9.513635026058182, elapsed 160.9453
