'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -194.7422637939453, avg_fit -452.1523991972208, elapsed 6.0688
5: best_fit -14.290156364440918, avg_fit -68.96841559093446, elapsed 20.7458
10: best_fit -0.8181143403053284, avg_fit -15.43416557420278, elapsed 34.8149
15: best_fit -0.8181143403053284, avg_fit -15.955108800088055, elapsed 48.5259
20: best_fit -0.8181143403053284, avg_fit -16.307044239132665, elapsed 61.3009
25: best_fit -0.8181143403053284, avg_fit -13.363875081588048, elapsed 74.9739
30: best_fit -0.8181143403053284, avg_fit -14.627116686489899, elapsed 87.7060
35: best_fit -0.8181143403053284, avg_fit -19.292787293496076, elapsed 99.5452
40: best_fit -0.8181143403053284, avg_fit -13.06793826899957, elapsed 111.5996
45: best_fit -0.8181143403053284, avg_fit -15.807010891207028, elapsed 123.9242
50: best_fit -0.8181143403053284, avg_fit -14.561031071119942, elapsed 123.9242
