'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -320.60498046875, avg_fit -495.6821811199188, elapsed 6.6031
5: best_fit -0.8936783075332642, avg_fit -14.488526086264756, elapsed 23.1616
10: best_fit -0.349568635225296, avg_fit -6.472565126168774, elapsed 41.0495
15: best_fit -0.13596689701080322, avg_fit -8.494686190912034, elapsed 58.5305
20: best_fit -0.13596689701080322, avg_fit -7.249016083937022, elapsed 77.0829
25: best_fit -0.13596689701080322, avg_fit -7.94058628793573, elapsed 95.2366
30: best_fit -0.03905948996543884, avg_fit -8.353199074656004, elapsed 112.8301
35: best_fit -0.03905948996543884, avg_fit -8.661951578833396, elapsed 130.9785
40: best_fit -0.03905948996543884, avg_fit -8.930594512145035, elapsed 148.2684
45: best_fit -0.03905948996543884, avg_fit -6.110329331539106, elapsed 166.2666
50: best_fit -0.03905948996543884, avg_fit -9.793076854693936, elapsed 184.8524
55: best_fit -0.03905948996543884, avg_fit -9.79772971229977, elapsed 202.9082
60: best_fit -0.03905948996543884, avg_fit -10.56773738587799, elapsed 222.2811
65: best_fit -0.03905948996543884, avg_fit -6.579830974282231, elapsed 241.2775
70: best_fit -0.03905948996543884, avg_fit -9.878229368972825, elapsed 259.3368
