'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -148.83428955078125, avg_fit -400.28852947056293, elapsed 5.6026
5: best_fit -1.1309584379196167, avg_fit -70.63734239875339, elapsed 20.5264
10: best_fit -1.1309584379196167, avg_fit -10.626205087290145, elapsed 34.8850
15: best_fit -1.1309584379196167, avg_fit -8.748989130486734, elapsed 48.0748
20: best_fit -1.1309584379196167, avg_fit -11.522269599488936, elapsed 60.7245
25: best_fit -1.125840425491333, avg_fit -9.477856092504226, elapsed 73.4428
30: best_fit -1.1232433319091797, avg_fit -10.64696752326563, elapsed 86.1694
35: best_fit -1.0379047393798828, avg_fit -9.844903005985543, elapsed 100.4531
40: best_fit -0.9662938117980957, avg_fit -14.578828403260559, elapsed 113.7060
45: best_fit -0.9662938117980957, avg_fit -13.73166534700431, elapsed 126.6641
50: best_fit -0.9662938117980957, avg_fit -14.10677758208476, elapsed 126.6641
