'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -237.57164001464844, avg_fit -465.3897802233696, elapsed 6.2858
5: best_fit -8.324034690856934, avg_fit -34.84639366250485, elapsed 19.3550
10: best_fit -2.2331748008728027, avg_fit -16.5367551126983, elapsed 33.2222
15: best_fit -2.2150421142578125, avg_fit -17.273355548735708, elapsed 49.8601
20: best_fit -2.0579779148101807, avg_fit -22.654304342111573, elapsed 66.2329
25: best_fit -1.966747522354126, avg_fit -12.828774863504805, elapsed 82.4947
30: best_fit -1.966747522354126, avg_fit -15.611232358613051, elapsed 98.9225
35: best_fit -1.966747522354126, avg_fit -14.983274355879985, elapsed 115.3132
40: best_fit -1.966747522354126, avg_fit -16.5807870014105, elapsed 131.8095
45: best_fit -1.966747522354126, avg_fit -15.508234540815465, elapsed 148.4617
50: best_fit -1.966747522354126, avg_fit -16.975680280243978, elapsed 148.4617
