'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -236.756103515625, avg_fit -507.05698342621326, elapsed 6.3408
5: best_fit -0.08787022531032562, avg_fit -37.262440850405255, elapsed 19.3154
10: best_fit -0.08787022531032562, avg_fit -5.9651384607714135, elapsed 35.2497
15: best_fit -0.07921414822340012, avg_fit -7.5431641649629455, elapsed 53.5766
20: best_fit -0.07921414822340012, avg_fit -8.322325880428252, elapsed 69.5451
25: best_fit -0.07921414822340012, avg_fit -5.468691106092592, elapsed 84.3595
30: best_fit -0.07921414822340012, avg_fit -5.067368615760643, elapsed 101.1679
35: best_fit -0.07921414822340012, avg_fit -9.435511753588798, elapsed 118.5130
40: best_fit -0.07921414822340012, avg_fit -5.378543128106685, elapsed 134.8244
45: best_fit -0.06078021228313446, avg_fit -9.123981799275498, elapsed 150.0630
50: best_fit -0.06078021228313446, avg_fit -8.315858318004757, elapsed 150.0630
