'organismClass': polyOrg, 'populationSize': 1024, 'eliteSize': 1, 'useTournament': True, 'cutoffSize': 200, 'tournamentSize': 24, 'mutationRate': 0.02
0: best_fit -320.44561767578125, avg_fit -547.9670683145523, elapsed 6.8035
5: best_fit -0.34661513566970825, avg_fit -31.16951287156553, elapsed 22.5244
10: best_fit -0.12808625400066376, avg_fit -7.096871980946162, elapsed 37.3580
15: best_fit -0.12808625400066376, avg_fit -5.5840416223800275, elapsed 51.0825
20: best_fit -0.12808625400066376, avg_fit -4.274888760221074, elapsed 65.1427
25: best_fit -0.12808625400066376, avg_fit -5.719190605042968, elapsed 79.0297
30: best_fit -0.12808625400066376, avg_fit -5.22961783898063, elapsed 92.6666
35: best_fit -0.051421768963336945, avg_fit -5.249355906249548, elapsed 107.8417
40: best_fit -0.051421768963336945, avg_fit -5.120035111052857, elapsed 121.8616
45: best_fit -0.051421768963336945, avg_fit -10.189241468004184, elapsed 135.7676
50: best_fit -0.051421768963336945, avg_fit -7.653634239810344, elapsed 150.7761
55: best_fit -0.051421768963336945, avg_fit -7.942522987235861, elapsed 165.2408
60: best_fit -0.051421768963336945, avg_fit -6.271447217332025, elapsed 178.6043
65: best_fit -0.051421768963336945, avg_fit -8.59399303678947, elapsed 192.1380
70: best_fit -0.051421768963336945, avg_fit -8.26321829335211, elapsed 205.3694
75: best_fit -0.051421768963336945, avg_fit -6.318835230289551, elapsed 218.7811
80: best_fit -0.051421768963336945, avg_fit -5.9288159768111655, elapsed 232.2042
85: best_fit -0.051421768963336945, avg_fit -8.603678847612173, elapsed 245.5605
90: best_fit -0.051421768963336945, avg_fit -7.458969688035722, elapsed 258.8451
95: best_fit -0.051421768963336945, avg_fit -6.642457510504755, elapsed 272.0032
100: best_fit -0.051421768963336945, avg_fit -6.482060946633283, elapsed 285.4576
105: best_fit -0.051421768963336945, avg_fit -7.292251096587279, elapsed 301.3106
110: best_fit -0.051421768963336945, avg_fit -8.619357207113353, elapsed 316.8941
115: best_fit -0.051421768963336945, avg_fit -8.725096506997943, elapsed 332.7630
120: best_fit -0.051421768963336945, avg_fit -7.591533495797194, elapsed 348.2327
125: best_fit -0.051421768963336945, avg_fit -7.354498223634437, elapsed 366.3004
130: best_fit -0.051421768963336945, avg_fit -7.838868809114501, elapsed 384.3196
135: best_fit -0.051421768963336945, avg_fit -6.165540131907619, elapsed 399.8607
140: best_fit -0.051421768963336945, avg_fit -7.790060908075247, elapsed 415.2133
145: best_fit -0.051421768963336945, avg_fit -7.319755976212036, elapsed 430.5274
150: best_fit -0.051421768963336945, avg_fit -8.796035044913879, elapsed 445.8796
155: best_fit -0.051421768963336945, avg_fit -9.473574263283808, elapsed 462.7601
160: best_fit -0.051421768963336945, avg_fit -9.259727576514706, elapsed 479.4254
